Cell_Line,COMPOUND_A,COMPOUND_B,SYNERGY_SCORE,Tissue
HCC1419,CIDs00005311,CIDs00123631,2.09,breast
HCC1419,CIDs16719221,CIDs00123631,7.12,breast
HCC1419,CIDs11494412,CIDs00123631,-6.93,breast
HCC1419,CIDs25262792,CIDs00123631,11.9,breast
HCC1419,CIDs00148191,CIDs00123631,29.0,breast
HCC1419,CIDs11520894,CIDs00123631,12.6,breast
HCC1419,CIDs16720766,CIDs00123631,-5.96,breast
HCC1419,CIDs11625818,CIDs00123631,-2.82,breast
HCC1419,CIDs17755052,CIDs00123631,29.9,breast
HCC1419,CIDs25033539,CIDs00123631,27.8,breast
HCC1419,CIDs49867926,CIDs00123631,-23.2,breast
HCC1419,CIDs00176166,CIDs00123631,-4.83,breast
HCC1419,CIDs11556711,CIDs00123631,-2.34,breast
HCC1419,CIDs49867930,CIDs00123631,-2.93,breast
HCC1419,CIDs25227436,CIDs11375205,32.7,breast
HCC1419,CIDs00148177,CIDs11375205,-7.63,breast
HCC1419,CIDs46930996,CIDs11375205,0.6609999999999999,breast
HCC1419,CIDs24978538,CIDs11375205,17.0,breast
HCC1419,CIDs10126189,CIDs11375205,7.04,breast
HCC1419,CIDs00104741,CIDs11375205,37.2,breast
HCC1419,CIDs00148195,CIDs11375205,1.52,breast
HCC1419,CIDs00004261,CIDs11375205,-1.51,breast
HCC1419,CIDs00005311,CIDs11375205,15.1,breast
HCC1419,CIDs11955716,CIDs11375205,-8.5,breast
HCC1419,CIDs11707110,CIDs11375205,7.7,breast
HCC1419,CIDs16719221,CIDs11375205,10.4,breast
HCC1419,CIDs17754438,CIDs11375205,-4.51,breast
HCC1419,CIDs11597571,CIDs11375205,-29.8,breast
HCC1419,CIDs25262792,CIDs11375205,16.8,breast
HCC1419,CIDs00148191,CIDs11375205,36.6,breast
HCC1419,CIDs06442177,CIDs11375205,40.1,breast
HCC1419,CIDs45375953,CIDs11375205,6.28,breast
HCC1419,CIDs11520894,CIDs11375205,29.3,breast
HCC1419,CIDs16720766,CIDs11375205,-23.8,breast
HCC1419,CIDs11625818,CIDs11375205,-0.452,breast
HCC1419,CIDs17755052,CIDs11375205,34.3,breast
HCC1419,CIDs00176166,CIDs11375205,-2.87,breast
HCC1419,CIDs00093860,CIDs11375205,5.99,breast
HCC1419,CIDs11556711,CIDs11375205,6.43,breast
HCC1419,CIDs25227436,CIDs00104741,-4.08,breast
HCC1419,CIDs24964624,CIDs00104741,44.7,breast
HCC1419,CIDs25262792,CIDs00104741,-4.3,breast
HCC1419,CIDs17755052,CIDs00104741,49.4,breast
HCC1419,CIDs25227436,CIDs00005376,33.7,breast
HCC1419,CIDs24964624,CIDs00005376,13.4,breast
HCC1419,CIDs25262792,CIDs00005376,13.1,breast
HCC1419,CIDs17755052,CIDs00005376,-32.7,breast
HCC1419,CIDs00148177,CIDs51039095,-4.15,breast
HCC1419,CIDs46930996,CIDs51039095,9.16,breast
HCC1419,CIDs24978538,CIDs51039095,29.7,breast
HCC1419,CIDs00005376,CIDs51039095,-6.86,breast
HCC1419,CIDs00148195,CIDs51039095,2.68,breast
HCC1419,CIDs16719221,CIDs51039095,6.42,breast
HCC1419,CIDs17754438,CIDs51039095,9.61,breast
HCC1419,CIDs11597571,CIDs51039095,-20.0,breast
HCC1419,CIDs00148191,CIDs51039095,-7.22,breast
HCC1419,CIDs06442177,CIDs51039095,-13.8,breast
HCC1419,CIDs25033539,CIDs51039095,-6.69,breast
HCC1419,CIDs49867926,CIDs51039095,-6.73,breast
HCC1419,CIDs00176166,CIDs51039095,8.99,breast
HCC1419,CIDs00093860,CIDs51039095,0.857,breast
HCC1419,CIDs11556711,CIDs51039095,1.37,breast
HCC1419,CIDs49867930,CIDs51039095,21.9,breast
HCC1419,CIDs46244453,CIDs00003461,1.78,breast
HCC1419,CIDs25227436,CIDs49800198,8.91,breast
HCC1419,CIDs46836568,CIDs49800198,62.4,breast
HCC1419,CIDs49846579,CIDs49800198,5.53,breast
HCC1419,CIDs00148177,CIDs16659841,9.48,breast
HCC1419,CIDs46930996,CIDs16659841,9.35,breast
HCC1419,CIDs24978538,CIDs16659841,-1.16,breast
HCC1419,CIDs10126189,CIDs16659841,-3.73,breast
HCC1419,CIDs25194865,CIDs16659841,2.75,breast
HCC1419,CIDs00148195,CIDs16659841,10.6,breast
HCC1419,CIDs00004261,CIDs16659841,-3.89,breast
HCC1419,CIDs11707110,CIDs16659841,7.13,breast
HCC1419,CIDs16719221,CIDs16659841,5.05,breast
HCC1419,CIDs17754438,CIDs16659841,-4.49,breast
HCC1419,CIDs11494412,CIDs16659841,-14.6,breast
HCC1419,CIDs06442177,CIDs16659841,-2.07,breast
HCC1419,CIDs45375953,CIDs16659841,-22.6,breast
HCC1419,CIDs11520894,CIDs16659841,11.0,breast
HCC1419,CIDs16720766,CIDs16659841,17.6,breast
HCC1419,CIDs11625818,CIDs16659841,-15.9,breast
HCC1419,CIDs49867926,CIDs16659841,2.01,breast
HCC1419,CIDs11556711,CIDs16659841,-2.45,breast
HCC1419,CIDs49867930,CIDs16659841,-8.63,breast
HCC1419,CIDs46930996,CIDs10127622,-3.51,breast
HCC1419,CIDs24978538,CIDs10127622,10.4,breast
HCC1419,CIDs10126189,CIDs10127622,24.9,breast
HCC1419,CIDs25194865,CIDs10127622,-12.1,breast
HCC1419,CIDs00104741,CIDs10127622,27.1,breast
HCC1419,CIDs00005376,CIDs10127622,51.0,breast
HCC1419,CIDs00148195,CIDs10127622,36.8,breast
HCC1419,CIDs00004261,CIDs10127622,10.7,breast
HCC1419,CIDs00005311,CIDs10127622,-11.1,breast
HCC1419,CIDs11955716,CIDs10127622,5.86,breast
HCC1419,CIDs11707110,CIDs10127622,13.8,breast
HCC1419,CIDs16719221,CIDs10127622,25.2,breast
HCC1419,CIDs17754438,CIDs10127622,6.17,breast
HCC1419,CIDs11494412,CIDs10127622,2.25,breast
HCC1419,CIDs25262792,CIDs10127622,-4.99,breast
HCC1419,CIDs00148191,CIDs10127622,40.1,breast
HCC1419,CIDs45375953,CIDs10127622,12.2,breast
HCC1419,CIDs11520894,CIDs10127622,41.9,breast
HCC1419,CIDs11625818,CIDs10127622,-2.78,breast
HCC1419,CIDs17755052,CIDs10127622,12.1,breast
HCC1419,CIDs25033539,CIDs10127622,9.77,breast
HCC1419,CIDs00176166,CIDs10127622,11.2,breast
HCC1419,CIDs11556711,CIDs10127622,8.2,breast
HCC1419,CIDs11167602,CIDs10127622,5.99,breast
HCC1419,CIDs25262792,CIDs11707110,6.36,breast
HCC1419,CIDs17755052,CIDs11707110,6.93,breast
HCC1419,CIDs25227436,CIDs25262792,20.9,breast
HCC1419,CIDs00148177,CIDs25262792,-6.1,breast
HCC1419,CIDs46930996,CIDs25262792,12.3,breast
HCC1419,CIDs10126189,CIDs25262792,-8.7,breast
HCC1419,CIDs00104741,CIDs25262792,2.97,breast
HCC1419,CIDs00004261,CIDs25262792,7.43,breast
HCC1419,CIDs00005311,CIDs25262792,1.26,breast
HCC1419,CIDs11955716,CIDs25262792,9.88,breast
HCC1419,CIDs11707110,CIDs25262792,32.6,breast
HCC1419,CIDs16719221,CIDs25262792,12.2,breast
HCC1419,CIDs11494412,CIDs25262792,19.8,breast
HCC1419,CIDs00148191,CIDs25262792,51.7,breast
HCC1419,CIDs06442177,CIDs25262792,61.3,breast
HCC1419,CIDs45375953,CIDs25262792,-5.31,breast
HCC1419,CIDs11520894,CIDs25262792,67.4,breast
HCC1419,CIDs17755052,CIDs25262792,10.3,breast
HCC1419,CIDs25033539,CIDs25262792,9.75,breast
HCC1419,CIDs00093860,CIDs25262792,-1.46,breast
HCC1419,CIDs24856436,CIDs25262792,-27.3,breast
HCC1419,CIDs25227436,CIDs06442177,27.8,breast
HCC1419,CIDs25262792,CIDs06442177,43.5,breast
HCC1419,CIDs00148177,CIDs23725625,2.43,breast
HCC1419,CIDs00001805,CIDs23725625,-1.8,breast
HCC1419,CIDs46930996,CIDs23725625,9.39,breast
HCC1419,CIDs24978538,CIDs23725625,-13.0,breast
HCC1419,CIDs10126189,CIDs23725625,7.43,breast
HCC1419,CIDs11717001,CIDs23725625,9.1,breast
HCC1419,CIDs25194865,CIDs23725625,-0.956,breast
HCC1419,CIDs00005376,CIDs23725625,-0.10400000000000001,breast
HCC1419,CIDs00148195,CIDs23725625,-5.16,breast
HCC1419,CIDs11955716,CIDs23725625,7.1,breast
HCC1419,CIDs11707110,CIDs23725625,6.78,breast
HCC1419,CIDs16719221,CIDs23725625,14.2,breast
HCC1419,CIDs11494412,CIDs23725625,-15.3,breast
HCC1419,CIDs00148191,CIDs23725625,-5.09,breast
HCC1419,CIDs06442177,CIDs23725625,23.9,breast
HCC1419,CIDs11520894,CIDs23725625,-10.4,breast
HCC1419,CIDs00093860,CIDs23725625,4.46,breast
HCC1419,CIDs11556711,CIDs23725625,8.89,breast
HCC1419,CIDs11167602,CIDs23725625,-18.0,breast
HCC1419,CIDs49867930,CIDs23725625,28.1,breast
HCC1419,CIDs25227436,CIDs17755052,23.2,breast
HCC1419,CIDs24964624,CIDs17755052,35.5,breast
HCC1428,CIDs17755052,CIDs25227436,-24.7,breast
HCC1428,CIDs56649450,CIDs25227436,-6.98,breast
HCC1428,CIDs54751698,CIDs25227436,-5.45,breast
HCC1428,CIDs16654980,CIDs25227436,1.23,breast
HCC1428,CIDs25227436,CIDs24964624,9.32,breast
HCC1428,CIDs25262792,CIDs24964624,10.2,breast
HCC1428,CIDs17755052,CIDs24964624,-11.1,breast
HCC1428,CIDs56649450,CIDs24964624,-36.3,breast
HCC1428,CIDs54751698,CIDs24964624,-6.81,breast
HCC1428,CIDs16654980,CIDs24964624,1.06,breast
HCC1428,CIDs25227436,CIDs67161792,-0.304,breast
HCC1428,CIDs24964624,CIDs67161792,27.5,breast
HCC1428,CIDs72793174,CIDs67161792,23.9,breast
HCC1428,CIDs51039095,CIDs67161792,5.08,breast
HCC1428,CIDs10127622,CIDs67161792,8.01,breast
HCC1428,CIDs25262792,CIDs67161792,13.4,breast
HCC1428,CIDs17755052,CIDs67161792,-0.588,breast
HCC1428,CIDs54751698,CIDs67161792,-1.01,breast
HCC1428,CIDs25227436,CIDs73294313,-14.7,breast
HCC1428,CIDs24964624,CIDs73294313,-20.6,breast
HCC1428,CIDs72793174,CIDs73294313,0.521,breast
HCC1428,CIDs51039095,CIDs73294313,-14.7,breast
HCC1428,CIDs25262792,CIDs73294313,-5.77,breast
HCC1428,CIDs17755052,CIDs73294313,2.52,breast
HCC1428,CIDs54751698,CIDs73294313,-30.4,breast
HCC1428,CIDs25227436,CIDs46244453,-9.78,breast
HCC1428,CIDs24964624,CIDs46244453,-1.77,breast
HCC1428,CIDs72793174,CIDs46244453,30.0,breast
HCC1428,CIDs10127622,CIDs46244453,-13.1,breast
HCC1428,CIDs25262792,CIDs46244453,-35.1,breast
HCC1428,CIDs17755052,CIDs46244453,-39.6,breast
HCC1428,CIDs54751698,CIDs46244453,2.6,breast
HCC1428,CIDs24964624,CIDs72793174,28.1,breast
HCC1428,CIDs51039095,CIDs72793174,-46.1,breast
HCC1428,CIDs10127622,CIDs72793174,7.58,breast
HCC1428,CIDs25262792,CIDs72793174,5.77,breast
HCC1428,CIDs17755052,CIDs72793174,18.6,breast
HCC1428,CIDs56649450,CIDs72793174,-1.86,breast
HCC1428,CIDs16654980,CIDs72793174,18.4,breast
HCC1428,CIDs25227436,CIDs10163178,-16.3,breast
HCC1428,CIDs24964624,CIDs10163178,8.19,breast
HCC1428,CIDs72793174,CIDs10163178,-0.237,breast
HCC1428,CIDs10127622,CIDs10163178,-30.0,breast
HCC1428,CIDs25262792,CIDs10163178,-6.48,breast
HCC1428,CIDs17755052,CIDs10163178,8.51,breast
HCC1428,CIDs54751698,CIDs10163178,-4.71,breast
HCC1428,CIDs25227436,CIDs11375205,-7.97,breast
HCC1428,CIDs24964624,CIDs11375205,8.41,breast
HCC1428,CIDs72793174,CIDs11375205,15.3,breast
HCC1428,CIDs51039095,CIDs11375205,10.8,breast
HCC1428,CIDs10127622,CIDs11375205,-11.9,breast
HCC1428,CIDs25262792,CIDs11375205,5.16,breast
HCC1428,CIDs17755052,CIDs11375205,1.06,breast
HCC1428,CIDs56649450,CIDs11375205,4.73,breast
HCC1428,CIDs54751698,CIDs11375205,7.16,breast
HCC1428,CIDs16654980,CIDs11375205,1.69,breast
HCC1428,CIDs25227436,CIDs46224759,-2.38,breast
HCC1428,CIDs24964624,CIDs46224759,0.28300000000000003,breast
HCC1428,CIDs72793174,CIDs46224759,-31.4,breast
HCC1428,CIDs51039095,CIDs46224759,1.79,breast
HCC1428,CIDs10127622,CIDs46224759,-20.3,breast
HCC1428,CIDs25262792,CIDs46224759,10.1,breast
HCC1428,CIDs17755052,CIDs46224759,2.0,breast
HCC1428,CIDs25227436,CIDs74767926,-4.33,breast
HCC1428,CIDs24964624,CIDs74767926,-4.25,breast
HCC1428,CIDs72793174,CIDs74767926,37.0,breast
HCC1428,CIDs10127622,CIDs74767926,-7.0,breast
HCC1428,CIDs25262792,CIDs74767926,0.7979999999999999,breast
HCC1428,CIDs17755052,CIDs74767926,4.74,breast
HCC1428,CIDs54751698,CIDs74767926,-10.3,breast
HCC1428,CIDs25227436,CIDs51039095,-6.31,breast
HCC1428,CIDs25262792,CIDs51039095,-2.55,breast
HCC1428,CIDs17755052,CIDs51039095,-10.4,breast
HCC1428,CIDs56649450,CIDs51039095,-7.48,breast
HCC1428,CIDs10127622,CIDs25262792,3.24,breast
HCC1428,CIDs25227436,CIDs23725625,-24.9,breast
HCC1428,CIDs24964624,CIDs23725625,-7.74,breast
HCC1428,CIDs72793174,CIDs23725625,14.0,breast
HCC1428,CIDs51039095,CIDs23725625,-13.3,breast
HCC1428,CIDs10127622,CIDs23725625,9.49,breast
HCC1428,CIDs25262792,CIDs23725625,-11.5,breast
HCC1428,CIDs17755052,CIDs23725625,-0.131,breast
HCC1428,CIDs54751698,CIDs23725625,-0.475,breast
HCC1428,CIDs10127622,CIDs17755052,-7.31,breast
HCC1428,CIDs25262792,CIDs17755052,-2.26,breast
HCC1428,CIDs10127622,CIDs16654980,-26.9,breast
HCC1428,CIDs25262792,CIDs16654980,-9.23,breast
HCC1428,CIDs10127622,CIDs56649450,-9.71,breast
HCC1428,CIDs25262792,CIDs56649450,12.0,breast
HCC1428,CIDs17755052,CIDs56649450,-9.57,breast
HCC1428,CIDs16654980,CIDs56649450,-2.92,breast
HCC1428,CIDs10127622,CIDs54751698,-6.82,breast
HCC1428,CIDs25262792,CIDs54751698,4.66,breast
HCC1428,CIDs56649450,CIDs54751698,-7.96,breast
HCC1428,CIDs25227436,CIDs58423153,-11.6,breast
HCC1428,CIDs24964624,CIDs58423153,-3.31,breast
HCC1428,CIDs72793174,CIDs58423153,69.8,breast
HCC1428,CIDs51039095,CIDs58423153,-40.1,breast
HCC1428,CIDs10127622,CIDs58423153,-25.1,breast
HCC1428,CIDs25262792,CIDs58423153,28.7,breast
HCC1428,CIDs17755052,CIDs58423153,16.9,breast
HCC1428,CIDs54751698,CIDs58423153,-15.7,breast
HCC1428,CIDs25227436,CIDs67970189,3.71,breast
HCC1428,CIDs24964624,CIDs67970189,2.74,breast
HCC1428,CIDs72793174,CIDs67970189,68.6,breast
HCC1428,CIDs51039095,CIDs67970189,-3.19,breast
HCC1428,CIDs10127622,CIDs67970189,9.21,breast
HCC1428,CIDs25262792,CIDs67970189,27.3,breast
HCC1428,CIDs17755052,CIDs67970189,-0.239,breast
HCC1428,CIDs54751698,CIDs67970189,5.69,breast
HCC1500,CIDs24964624,CIDs25227436,-10.5,breast
HCC1500,CIDs00148177,CIDs25227436,3.48,breast
HCC1500,CIDs00001805,CIDs25227436,18.5,breast
HCC1500,CIDs46930996,CIDs25227436,-6.17,breast
HCC1500,CIDs10126189,CIDs25227436,10.0,breast
HCC1500,CIDs11717001,CIDs25227436,-2.78,breast
HCC1500,CIDs11656518,CIDs25227436,1.83,breast
HCC1500,CIDs25194865,CIDs25227436,-18.4,breast
HCC1500,CIDs00002719,CIDs25227436,4.39,breast
HCC1500,CIDs00104741,CIDs25227436,-2.58,breast
HCC1500,CIDs00148195,CIDs25227436,43.0,breast
HCC1500,CIDs00004261,CIDs25227436,-11.7,breast
HCC1500,CIDs00005311,CIDs25227436,-24.9,breast
HCC1500,CIDs11955716,CIDs25227436,2.5,breast
HCC1500,CIDs11707110,CIDs25227436,20.2,breast
HCC1500,CIDs16719221,CIDs25227436,15.2,breast
HCC1500,CIDs17754438,CIDs25227436,25.9,breast
HCC1500,CIDs11494412,CIDs25227436,21.6,breast
HCC1500,CIDs00148191,CIDs25227436,-2.73,breast
HCC1500,CIDs06442177,CIDs25227436,6.9,breast
HCC1500,CIDs45375953,CIDs25227436,-10.7,breast
HCC1500,CIDs11520894,CIDs25227436,-1.79,breast
HCC1500,CIDs16720766,CIDs25227436,1.4,breast
HCC1500,CIDs11625818,CIDs25227436,43.2,breast
HCC1500,CIDs25033539,CIDs25227436,6.41,breast
HCC1500,CIDs00176166,CIDs25227436,-9.2,breast
HCC1500,CIDs00093860,CIDs25227436,5.04,breast
HCC1500,CIDs11556711,CIDs25227436,7.68,breast
HCC1500,CIDs11167602,CIDs25227436,17.1,breast
HCC1500,CIDs24856436,CIDs25227436,-3.92,breast
HCC1500,CIDs49867930,CIDs25227436,25.3,breast
HCC1500,CIDs24964624,CIDs11152667,11.2,breast
HCC1500,CIDs00148177,CIDs11152667,1.52,breast
HCC1500,CIDs00001805,CIDs11152667,11.8,breast
HCC1500,CIDs46930996,CIDs11152667,-19.8,breast
HCC1500,CIDs10126189,CIDs11152667,-0.106,breast
HCC1500,CIDs11717001,CIDs11152667,5.5,breast
HCC1500,CIDs00002719,CIDs11152667,-15.2,breast
HCC1500,CIDs00104741,CIDs11152667,11.4,breast
HCC1500,CIDs00148195,CIDs11152667,10.2,breast
HCC1500,CIDs00004261,CIDs11152667,-6.12,breast
HCC1500,CIDs11955716,CIDs11152667,4.55,breast
HCC1500,CIDs11707110,CIDs11152667,56.4,breast
HCC1500,CIDs16719221,CIDs11152667,-10.8,breast
HCC1500,CIDs11494412,CIDs11152667,16.3,breast
HCC1500,CIDs11597571,CIDs11152667,-24.3,breast
HCC1500,CIDs00148191,CIDs11152667,23.5,breast
HCC1500,CIDs06442177,CIDs11152667,16.3,breast
HCC1500,CIDs45375953,CIDs11152667,25.8,breast
HCC1500,CIDs11520894,CIDs11152667,15.8,breast
HCC1500,CIDs16720766,CIDs11152667,17.6,breast
HCC1500,CIDs11625818,CIDs11152667,10.3,breast
HCC1500,CIDs25033539,CIDs11152667,-1.89,breast
HCC1500,CIDs00176166,CIDs11152667,-12.0,breast
HCC1500,CIDs00093860,CIDs11152667,5.03,breast
HCC1500,CIDs11556711,CIDs11152667,5.22,breast
HCC1500,CIDs11167602,CIDs11152667,1.76,breast
HCC1500,CIDs24856436,CIDs11152667,10.2,breast
HCC1500,CIDs49867930,CIDs11152667,-37.0,breast
HCC1500,CIDs24964624,CIDs00123631,9.67,breast
HCC1500,CIDs00001805,CIDs00123631,-0.6729999999999999,breast
HCC1500,CIDs46930996,CIDs00123631,-5.28,breast
HCC1500,CIDs24978538,CIDs00123631,1.42,breast
HCC1500,CIDs10126189,CIDs00123631,2.29,breast
HCC1500,CIDs11717001,CIDs00123631,-4.9,breast
HCC1500,CIDs11656518,CIDs00123631,9.78,breast
HCC1500,CIDs25194865,CIDs00123631,-10.2,breast
HCC1500,CIDs00002719,CIDs00123631,5.14,breast
HCC1500,CIDs00104741,CIDs00123631,-0.821,breast
HCC1500,CIDs00148195,CIDs00123631,9.45,breast
HCC1500,CIDs00004261,CIDs00123631,19.1,breast
HCC1500,CIDs00005311,CIDs00123631,12.3,breast
HCC1500,CIDs11955716,CIDs00123631,7.76,breast
HCC1500,CIDs11707110,CIDs00123631,14.9,breast
HCC1500,CIDs16719221,CIDs00123631,8.09,breast
HCC1500,CIDs17754438,CIDs00123631,1.26,breast
HCC1500,CIDs11494412,CIDs00123631,15.8,breast
HCC1500,CIDs11597571,CIDs00123631,14.9,breast
HCC1500,CIDs00148191,CIDs00123631,1.72,breast
HCC1500,CIDs06442177,CIDs00123631,-0.0874,breast
HCC1500,CIDs45375953,CIDs00123631,21.7,breast
HCC1500,CIDs11520894,CIDs00123631,-5.6,breast
HCC1500,CIDs16720766,CIDs00123631,-0.418,breast
HCC1500,CIDs11625818,CIDs00123631,7.22,breast
HCC1500,CIDs25033539,CIDs00123631,4.94,breast
HCC1500,CIDs49867926,CIDs00123631,2.86,breast
HCC1500,CIDs00176166,CIDs00123631,-20.5,breast
HCC1500,CIDs00093860,CIDs00123631,3.62,breast
HCC1500,CIDs11556711,CIDs00123631,4.07,breast
HCC1500,CIDs11167602,CIDs00123631,-2.46,breast
HCC1500,CIDs24856436,CIDs00123631,-5.57,breast
HCC1500,CIDs49867930,CIDs00123631,7.74,breast
HCC1500,CIDs00148177,CIDs11375205,27.7,breast
HCC1500,CIDs00001805,CIDs11375205,-20.8,breast
HCC1500,CIDs46930996,CIDs11375205,14.4,breast
HCC1500,CIDs24978538,CIDs11375205,26.6,breast
HCC1500,CIDs10126189,CIDs11375205,-1.0,breast
HCC1500,CIDs11717001,CIDs11375205,-3.36,breast
HCC1500,CIDs11656518,CIDs11375205,19.1,breast
HCC1500,CIDs25194865,CIDs11375205,15.1,breast
HCC1500,CIDs00002719,CIDs11375205,-42.9,breast
HCC1500,CIDs00104741,CIDs11375205,1.48,breast
HCC1500,CIDs00148195,CIDs11375205,-1.77,breast
HCC1500,CIDs00004261,CIDs11375205,23.2,breast
HCC1500,CIDs00005311,CIDs11375205,9.84,breast
HCC1500,CIDs11955716,CIDs11375205,8.93,breast
HCC1500,CIDs11707110,CIDs11375205,9.66,breast
HCC1500,CIDs16719221,CIDs11375205,7.38,breast
HCC1500,CIDs17754438,CIDs11375205,-11.3,breast
HCC1500,CIDs11494412,CIDs11375205,5.58,breast
HCC1500,CIDs11597571,CIDs11375205,17.2,breast
HCC1500,CIDs00148191,CIDs11375205,11.7,breast
HCC1500,CIDs06442177,CIDs11375205,-0.552,breast
HCC1500,CIDs45375953,CIDs11375205,15.9,breast
HCC1500,CIDs11520894,CIDs11375205,4.43,breast
HCC1500,CIDs16720766,CIDs11375205,2.48,breast
HCC1500,CIDs11625818,CIDs11375205,-0.231,breast
HCC1500,CIDs25033539,CIDs11375205,15.8,breast
HCC1500,CIDs49867926,CIDs11375205,16.1,breast
HCC1500,CIDs00176166,CIDs11375205,-8.49,breast
HCC1500,CIDs00093860,CIDs11375205,4.17,breast
HCC1500,CIDs11556711,CIDs11375205,4.95,breast
HCC1500,CIDs11167602,CIDs11375205,-4.7,breast
HCC1500,CIDs24856436,CIDs11375205,11.5,breast
HCC1500,CIDs49867930,CIDs11375205,-6.75,breast
HCC1500,CIDs00148177,CIDs51039095,15.8,breast
HCC1500,CIDs00001805,CIDs51039095,17.4,breast
HCC1500,CIDs46930996,CIDs51039095,0.905,breast
HCC1500,CIDs24978538,CIDs51039095,25.2,breast
HCC1500,CIDs10126189,CIDs51039095,16.5,breast
HCC1500,CIDs11656518,CIDs51039095,8.59,breast
HCC1500,CIDs25194865,CIDs51039095,-2.54,breast
HCC1500,CIDs00002719,CIDs51039095,32.7,breast
HCC1500,CIDs00104741,CIDs51039095,9.85,breast
HCC1500,CIDs00148195,CIDs51039095,51.6,breast
HCC1500,CIDs00004261,CIDs51039095,7.28,breast
HCC1500,CIDs00005311,CIDs51039095,63.1,breast
HCC1500,CIDs11955716,CIDs51039095,11.9,breast
HCC1500,CIDs11707110,CIDs51039095,7.85,breast
HCC1500,CIDs16719221,CIDs51039095,31.8,breast
HCC1500,CIDs17754438,CIDs51039095,-8.56,breast
HCC1500,CIDs11494412,CIDs51039095,27.9,breast
HCC1500,CIDs11597571,CIDs51039095,15.7,breast
HCC1500,CIDs00148191,CIDs51039095,15.1,breast
HCC1500,CIDs06442177,CIDs51039095,8.33,breast
HCC1500,CIDs45375953,CIDs51039095,38.9,breast
HCC1500,CIDs11520894,CIDs51039095,7.04,breast
HCC1500,CIDs16720766,CIDs51039095,18.4,breast
HCC1500,CIDs25033539,CIDs51039095,39.0,breast
HCC1500,CIDs49867926,CIDs51039095,18.0,breast
HCC1500,CIDs00176166,CIDs51039095,-21.4,breast
HCC1500,CIDs00093860,CIDs51039095,6.78,breast
HCC1500,CIDs11556711,CIDs51039095,6.79,breast
HCC1500,CIDs24856436,CIDs51039095,27.0,breast
HCC1500,CIDs49867930,CIDs51039095,32.1,breast
HCC1500,CIDs24964624,CIDs16659841,6.14,breast
HCC1500,CIDs00148177,CIDs16659841,11.4,breast
HCC1500,CIDs00001805,CIDs16659841,-6.0,breast
HCC1500,CIDs46930996,CIDs16659841,-19.9,breast
HCC1500,CIDs10126189,CIDs16659841,8.66,breast
HCC1500,CIDs11717001,CIDs16659841,-10.2,breast
HCC1500,CIDs11656518,CIDs16659841,17.3,breast
HCC1500,CIDs25194865,CIDs16659841,-6.23,breast
HCC1500,CIDs00002719,CIDs16659841,-1.61,breast
HCC1500,CIDs00104741,CIDs16659841,11.0,breast
HCC1500,CIDs00148195,CIDs16659841,22.0,breast
HCC1500,CIDs00004261,CIDs16659841,12.7,breast
HCC1500,CIDs16719221,CIDs16659841,33.0,breast
HCC1500,CIDs17754438,CIDs16659841,-2.56,breast
HCC1500,CIDs11494412,CIDs16659841,-13.8,breast
HCC1500,CIDs00148191,CIDs16659841,8.12,breast
HCC1500,CIDs06442177,CIDs16659841,16.9,breast
HCC1500,CIDs45375953,CIDs16659841,9.18,breast
HCC1500,CIDs11520894,CIDs16659841,5.6,breast
HCC1500,CIDs16720766,CIDs16659841,-4.05,breast
HCC1500,CIDs11625818,CIDs16659841,-22.7,breast
HCC1500,CIDs49867926,CIDs16659841,-52.0,breast
HCC1500,CIDs00176166,CIDs16659841,8.13,breast
HCC1500,CIDs00093860,CIDs16659841,4.18,breast
HCC1500,CIDs11556711,CIDs16659841,9.18,breast
HCC1500,CIDs11167602,CIDs16659841,-17.2,breast
HCC1500,CIDs24856436,CIDs16659841,-11.7,breast
HCC1500,CIDs49867930,CIDs16659841,23.2,breast
HCC1500,CIDs24964624,CIDs10127622,31.1,breast
HCC1500,CIDs00148177,CIDs10127622,6.31,breast
HCC1500,CIDs00001805,CIDs10127622,21.7,breast
HCC1500,CIDs46930996,CIDs10127622,16.7,breast
HCC1500,CIDs10126189,CIDs10127622,13.2,breast
HCC1500,CIDs11717001,CIDs10127622,21.4,breast
HCC1500,CIDs11656518,CIDs10127622,14.1,breast
HCC1500,CIDs25194865,CIDs10127622,-16.3,breast
HCC1500,CIDs00002719,CIDs10127622,-6.88,breast
HCC1500,CIDs00104741,CIDs10127622,5.09,breast
HCC1500,CIDs00004261,CIDs10127622,-9.5,breast
HCC1500,CIDs00005311,CIDs10127622,17.3,breast
HCC1500,CIDs11955716,CIDs10127622,24.7,breast
HCC1500,CIDs11707110,CIDs10127622,27.2,breast
HCC1500,CIDs16719221,CIDs10127622,0.5579999999999999,breast
HCC1500,CIDs17754438,CIDs10127622,23.2,breast
HCC1500,CIDs11494412,CIDs10127622,18.8,breast
HCC1500,CIDs11597571,CIDs10127622,-3.92,breast
HCC1500,CIDs00148191,CIDs10127622,13.3,breast
HCC1500,CIDs06442177,CIDs10127622,6.97,breast
HCC1500,CIDs45375953,CIDs10127622,39.0,breast
HCC1500,CIDs11520894,CIDs10127622,8.13,breast
HCC1500,CIDs16720766,CIDs10127622,25.8,breast
HCC1500,CIDs25033539,CIDs10127622,18.6,breast
HCC1500,CIDs49867926,CIDs10127622,16.0,breast
HCC1500,CIDs00176166,CIDs10127622,19.0,breast
